"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.10.2019","12.369,45","12.183,48","12.382,23","12.070,03","-","1,53%"
"15.10.2019","12.183,62","12.221,32","12.296,93","12.170,53","-","-0,33%"
"14.10.2019","12.224,39","12.099,41","12.247,35","12.055,28","-","1,04%"
"11.10.2019","12.098,79","11.882,65","12.153,74","11.881,79","-","1,85%"
"10.10.2019","11.878,92","11.809,29","11.952,90","11.769,68","-","0,59%"
"09.10.2019","11.809,29","11.568,60","11.839,91","11.567,96","-","2,14%"
"08.10.2019","11.562,28","11.593,05","11.725,72","11.543,42","-","-0,26%"
"07.10.2019","11.592,16","11.872,40","11.881,17","11.592,16","-","-2,36%"
"04.10.2019","11.872,05","11.789,33","11.875,08","11.674,77","-","0,70%"
"03.10.2019","11.789,33","11.752,34","11.830,04","11.648,91","-","0,31%"
"02.10.2019","11.752,34","12.088,19","12.088,19","11.717,79","-","-2,78%"
"01.10.2019","12.088,93","12.246,31","12.306,86","12.070,43","-","-1,28%"
"30.09.2019","12.245,31","12.376,86","12.422,29","12.244,71","-","-1,06%"
"27.09.2019","12.376,86","12.408,19","12.421,65","12.269,17","-","-0,25%"
"26.09.2019","12.408,19","12.210,27","12.411,82","12.210,27","-","1,62%"
"25.09.2019","12.209,88","12.157,37","12.209,88","12.031,93","-","0,43%"
"24.09.2019","12.157,98","12.305,34","12.353,71","12.114,63","-","-1,20%"
"23.09.2019","12.305,30","12.351,53","12.351,53","12.171,44","-","-0,37%"
"20.09.2019","12.351,27","12.242,82","12.383,34","12.235,07","-","0,89%"
"19.09.2019","12.242,70","12.378,19","12.537,24","12.228,36","-","-1,09%"
"18.09.2019","12.377,92","12.290,52","12.377,92","12.232,81","-","0,71%"
"17.09.2019","12.290,52","12.092,29","12.290,52","12.021,93","-","1,63%"
"16.09.2019","12.093,62","12.156,01","12.156,01","12.012,83","-","-0,51%"
