,Date,Close,Open,High,Low,Volume,Var%
2420,2018-10-16,3174.99,3100.75,3174.99,3100.75,0,"2,41%"
2421,2018-10-17,3178.13,3174.91,3196.78,3143.42,0,"0,10%"
2422,2018-10-18,3156.42,3178.13,3192.19,3155.52,0,"-0,68%"
2423,2018-10-19,3182.20,3156.43,3197.45,3156.43,0,"0,82%"
2424,2018-10-22,3217.66,3182.56,3230.52,3182.56,0,"1,11%"
2425,2018-10-23,3233.05,3217.63,3244.46,3175.06,0,"0,48%"
2426,2018-10-24,3155.19,3233.07,3251.93,3150.02,0,"-2,41%"
2427,2018-10-25,3168.53,3155.26,3189.43,3128.64,0,"0,42%"
2428,2018-10-26,3186.42,3168.53,3205.40,3142.41,0,"0,56%"
2429,2018-10-29,3130.37,3186.57,3286.45,3103.11,0,"-1,76%"
2430,2018-10-30,3250.94,3130.82,3254.31,3130.82,0,"3,85%"
2431,2018-10-31,3271.70,3250.98,3293.49,3230.95,0,"0,64%"
2432,2018-11-01,3294.75,3271.70,3320.39,3253.24,0,"0,70%"
2433,2018-11-05,3330.67,3294.96,3330.67,3294.96,0,"1,09%"
2434,2018-11-06,3298.79,3330.65,3330.74,3280.15,0,"-0,96%"
2435,2018-11-07,3268.75,3298.85,3333.31,3259.66,0,"-0,91%"
2436,2018-11-08,3182.18,3268.71,3289.04,3178.36,0,"-2,65%"
2437,2018-11-09,3190.43,3182.18,3205.59,3145.67,0,"0,26%"
2438,2018-11-12,3190.94,3190.84,3217.58,3173.88,0,"0,02%"
2439,2018-11-13,3187.65,3190.97,3218.69,3138.78,0,"-0,10%"
2440,2018-11-14,3263.10,3185.67,3263.10,3182.06,0,"2,37%"
2441,2018-11-16,3332.80,3263.15,3332.82,3256.00,0,"2,14%"
2442,2018-11-19,3307.22,3332.68,3332.68,3273.49,0,"-0,77%"
2443,2018-11-21,3308.61,3307.07,3312.86,3242.44,0,"0,04%"
2444,2018-11-22,3336.88,3307.88,3342.14,3306.21,0,"0,85%"
2445,2018-11-23,3316.75,3336.99,3341.63,3295.57,0,"-0,60%"
