,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
3229,3229,2018-02-05,9129.36,9406.18,9427.49,9129.36,0,"-2,94%",-0.029447128996253014
3230,3230,2018-02-06,9363.72,9127.83,9418.27,9037.87,0,"2,57%",0.02567102201282978
3231,3231,2018-02-07,9241.41,9363.18,9422.29,9209.37,0,"-1,31%",-0.01306211668998003
3232,3232,2018-02-08,9091.45,9244.11,9346.3,9059.63,0,"-1,62%",-0.016226960346102715
3233,3233,2018-02-09,9017.12,9091.14,9113.78,8869.06,0,"-0,82%",-0.008175813592970371
3234,3234,2018-02-14,9300.69,9017.54,9326.67,9017.54,0,"3,14%",0.03144795820116997
3235,3235,2018-02-15,9383.0,9300.73,9445.45,9300.73,0,"0,88%",0.008849880658090115
3236,3236,2018-02-16,9447.54,9383.09,9447.54,9340.99,0,"0,69%",0.006878396961838007
3237,3237,2018-02-19,9379.32,9447.06,9485.79,9348.71,0,"-0,72%",-0.007220927160233259
3238,3238,2018-02-20,9584.17,9379.28,9595.08,9337.52,0,"2,18%",0.021840602159500122
3239,3239,2018-02-21,9715.11,9584.17,9855.05,9584.17,0,"1,37%",0.013662111945450306
3240,3240,2018-02-22,9761.07,9714.65,9867.78,9710.37,0,"0,47%",0.004730775021016598
3241,3241,2018-02-23,9855.34,9760.86,9855.34,9687.88,0,"0,97%",0.009657752700150013
3242,3242,2018-02-26,9873.79,9855.96,9933.24,9827.88,0,"0,19%",0.0018720815423876047
3243,3243,2018-02-27,9750.03,9873.83,9873.83,9723.68,0,"-1,25%",-0.012534193694591522
3244,3244,2018-02-28,9514.03,9749.18,9749.18,9513.63,0,"-2,42%",-0.024205053225159645
3245,3245,2018-03-01,9583.3,9514.2,9641.27,9491.34,0,"0,73%",0.007280826102942228
3246,3246,2018-03-02,9638.93,9583.3,9639.03,9452.05,0,"0,58%",0.005804889835417271
3247,3247,2018-03-05,9756.99,9638.93,9765.59,9594.17,0,"1,22%",0.012248247861862183
3248,3248,2018-03-06,9765.05,9757.16,9876.85,9757.16,0,"0,08%",0.0008260744507424533
3249,3249,2018-03-07,9708.83,9765.05,9765.07,9602.23,0,"-0,58%",-0.0057572671212255955
3250,3250,2018-03-08,9662.51,9703.85,9792.81,9591.84,0,"-0,48%",-0.0047709145583212376
3251,3251,2018-03-09,9797.56,9662.89,9814.95,9659.02,0,"1,40%",0.01397669967263937
3252,3252,2018-03-12,9847.36,9797.81,9857.88,9786.31,0,"0,51%",0.005082898307591677
3253,3253,2018-03-13,9777.69,9847.99,9879.46,9741.55,0,"-0,71%",-0.007074992638081312
3254,3254,2018-03-14,9658.77,9777.42,9819.12,9626.59,0,"-1,22%",-0.012162381783127785
3255,3255,2018-03-15,9573.45,9658.27,9658.27,9530.15,0,"-0,88%",-0.008833423256874084
3256,3256,2018-03-16,9563.12,9573.45,9672.74,9553.42,0,"-0,11%",-0.0010790257947519422
3257,3257,2018-03-19,9462.62,9563.21,9564.35,9424.82,0,"-1,05%",-0.010509122163057327
3258,3258,2018-03-20,9515.27,9464.93,9528.0,9423.67,0,"0,56%",0.005563998129218817
3259,3259,2018-03-21,9531.55,9516.09,9564.55,9474.01,0,"0,17%",0.0017109340988099575
3260,3260,2018-03-22,9495.0,9532.37,9606.17,9420.47,0,"-0,38%",-0.0038346333894878626
3261,3261,2018-03-23,9482.74,9489.19,9610.33,9416.42,0,"-0,13%",-0.0012912058737128973
